"id", "authors", "title", "citiesMentioned"
"16500";"["Waley, Arthur","Bai, Juyi"]";"More Translations from the Chinese";"{}"
"11866";"["Defoe, Daniel"]";"The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)";"{"Calais":2,"York":1,"Argun":1,"Stafford":1,"Dublin":1,"Hamburg":1,"Pekin":10,"Moscow":3,"Formosa":1,"Bremen":1,"Trinidad":2,"Bristol":2,"Vienna":1,"Drogheda":1,"Providence":32,"Lisbon":9,"Dover":1,"Agra":1,"Coromandel":1,"Batavia":3,"Harwich":1,"Asia":1,"Madrid":1,"London":15,"Mexico":2,"Bedford":1,"Largo":1,"Bay":1,"Yarmouth":4,"Jamaica":2,"Paris":2,"Navarre":1}"
"36585";"["Wilson, Samuel Graham"]";"Bahaism and Its Claims
A Study of the Religion Promulgated by Baha Ullah and Abdul Baha";"{"Delhi":1,"Tunis":2,"Samsun":1,"Damascus":3,"Stuttgart":1,"Cape Town":1,"West Englewood":1,"Ithaca":1,"Hamburg":1,"Brooklyn":1,"Beirut":13,"Washington":6,"Haifa":14,"New York City":2,"Tiberias":2,"Tabriz":16,"Rome":1,"Atlanta":1,"Shiraz":1,"Denver":1,"Alexandria":1,"Famagusta":1,"Oxford":1,"Kenosha":2,"Boston":2,"Kerman":1,"Liverpool":1,"Brussels":1,"Chicago":35,"Mecca":3,"Abha":2,"Jerusalem":5,"Palestine":1,"Adam":1,"Nazareth":1,"Baltimore":1,"Asia":4,"Cairo":4,"London":10,"Los Angeles":2,"Frankfort":1,"Wilmette":1,"Paris":7,"Mount Lebanon":1}"
"21976";"["Stevens, George T. (George Thomas)"]";"Three Years in the Sixth Corps
A Concise Narrative of Events in the Army of the Potomac,
from 1861 to the Close of the Rebellion, April, 1865";"{"Westminster":1,"Stoughton":2,"Stafford":1,"Pleasanton":2,"Johnstown":1,"Cambridge":2,"Waterloo":2,"Glendale":2,"Woodstock":1,"Salisbury":2,"Mount Vernon":2,"Wheaton":2,"Williamsport":5,"Alexandria":13,"Orleans":1,"Georgetown":2,"Albany":4,"Camden":1,"Frederick":1,"Saratoga Springs":2,"Bowling Green":2,"Berlin":2,"Jerusalem":3,"Hudson":2,"Clifton":1,"White Plains":1,"Cumberland":1,"Delaware":1,"Hampton":1,"Waynesboro":2,"Fairfax":7,"Rockville":3,"Williston":1,"Newton":3,"Gainesville":1,"Jamestown":1,"Wadsworth":3,"Annandale":1,"Falmouth":3,"Winchester":15,"Virginia":23,"Richmond":45,"Norfolk":1,"Hanover":1,"Manassas":8,"Warrenton":15,"York":3,"Potomac":51,"Roanoke":3,"Washington":68,"Fair Oaks":3,"Woodbury":2,"Atlanta":1,"Sulphur Springs":2,"Hamilton":1,"Vienna":4,"Shenandoah":8,"Middletown":6,"New Orleans":1,"Beaver Dam":1,"Chantilly":2,"Vicksburg":1,"Hagerstown":13,"Golden":4,"Saratoga":12,"Centreville":24,"Charlottesville":1,"Jefferson":3,"Urbana":1,"Chesapeake":1,"Danville":3,"Elmira":1,"Mechanicsville":8,"Baltimore":12,"Manchester":3,"Mexico":3,"Fairfield":5,"Philadelphia":7,"Paris":1}"
"38120";"["Elwell, J. B. (Joseph Bowne)"]";"Bridge Axioms and Laws";"{}"
"46571";"["Schlesinger, Max","Wenckstern, Otto von"]";"Saunterings in and about London";"{"Westminster":4,"Calais":5,"Gibraltar":1,"Woburn":1,"Dublin":2,"Glasgow":1,"Waterloo":7,"Linz":1,"Rome":4,"Folkestone":1,"Alexandria":1,"Berwick":1,"Wellington":11,"Spandau":1,"Nelson":1,"Providence":2,"Mons":1,"Islington":1,"Hyde Park":9,"Berlin":19,"Victoria":2,"Athens":1,"Kensington":1,"Prague":2,"Venice":2,"Ostend":1,"Suffolk":1,"Leipzig":3,"London":269,"Sheffield":1,"Kew":1,"Jamaica":1,"Frankfort":1,"Heidelberg":4,"Portsmouth":1,"Bayswater":1,"Surrey":1,"Richmond":3,"Norfolk":1,"Palmerston":8,"Windsor":1,"Moscow":1,"Cleveland":1,"Vittoria":1,"Honolulu":1,"Vienna":15,"Naples":2,"Edinburgh":2,"Oxford":2,"Holland":1,"Brighton":2,"Epsom":1,"Stratford":1,"Dover":4,"Birmingham":1,"Lebanon":1,"Gravesend":1,"Cairo":1,"Manchester":5,"Bedford":1,"Gotha":1,"Mexico":1,"Paris":53}"
"43813";"["Clodd, Edward"]";"Myths and Dreams";"{"Oregon":1,"Tunis":1,"Canterbury":1,"Pisa":1,"Windsor":1,"Algonquin":3,"Geneva":1,"Moscow":1,"Blackburn":1,"Laon":2,"Aurora":1,"Gloucester":1,"Altdorf":1,"Edinburgh":1,"Glastonbury":1,"Derby":1,"Jerusalem":1,"Victoria":2,"Shawnee":2,"Athens":1,"Florida":1,"Burnley":1,"Cicero":1,"Chester":1,"Jupiter":1,"Nazareth":1,"Arcadia":1,"Asia":5,"Cairo":1,"London":4,"Manchester":1,"Mexico":3,"Canton":1}"
"2518";"["Tagore, Rabindranath"]";"The Hungry Stones, and Other Stories";"{"Queens":1,"Gaya":1,"Bhola":1}"
"12548";"["Fontenoy, marquise de"]";"The Secret Memoirs of the Courts of Europe: William II, Germany; Francis Joseph, Austria-Hungary, Volume I. (of 2)";"{"Turin":1,"Charlotte":6,"Potsdam":28,"Kiel":4,"Bucharest":1,"Darmstadt":1,"Pekin":1,"Copenhagen":1,"Rome":7,"Koblenz":1,"Albany":1,"Spandau":2,"Brunswick":8,"Trieste":1,"Munich":3,"Brussels":2,"Providence":3,"Warsaw":1,"Dome":1,"Mecca":1,"Berlin":155,"Jerusalem":10,"Magenta":1,"Jaffa":1,"Athens":2,"Cumberland":1,"Stockholm":2,"Venice":1,"Carlsbad":3,"Homburg":2,"Madrid":1,"Leipzig":1,"London":13,"Santa Cruz":1,"Cowes":1,"Bismarck":1,"Hanover":4,"Dresden":4,"Hong Kong":2,"Aschersleben":1,"Stuttgart":1,"Jericho":1,"Windsor":3,"Damascus":2,"San Remo":3,"Geneva":1,"Coburg":8,"Manila":6,"Moscow":1,"Washington":1,"Neustadt":1,"Corfu":1,"Hamilton":1,"Magdeburg":1,"Vienna":45,"Aosta":1,"Schaumburg":1,"Holland":1,"Shanghai":1,"Charlottenburg":3,"The Hague":1,"La Plata":1,"Bonn":5,"Saalfeld":2,"Cairo":1,"Tempelhof":1,"Versailles":5,"Gotha":1,"Mexico":1,"Kronberg":1,"Coney Island":1,"Paris":19,"Philadelphia":2}"
"29202";"["Diffin, Charles Willard"]";"The Hammer of Thor";"{"Chicago":1,"Hudson":1,"Cleveland":1,"Washington":7,"Boston":3}"
